category,Tilte,Base_Reviews
conformity,Nope,Bad horrible it's awful don't get it horrible app
conformity,sorry game,"This doesn't give you an accurate record I'm only 9 but it said I'm 50,40,23,120"
conformity,Sara's review... this game is really stupid!,This game said I was 48 when I'm 10! And it doesn't even get your finger print right! I deleted it! DON'T GET IT!
conformity,wrong,This is sooooo wrong. I am not in my 50s u dumb app! I am not even 25!!!! Don't get this. So bad. Wish i could give it a big 0!!!!! I hate it don't get. U will thank me!!!!! HORRIBLE
conformity,Not accurate,It sucks!!!! :) my 2nd old said she was 39. Not even close to the right age. It's just weird.
hedonism,annoying,Every time I put my thumb on the scale my screen blacks out and shuts down. It's REALLY annoying that I have to keep turning on my screen because it takes 2 minutes. I would not get this app if I were you.
conformity,I hate it,This app I stupid it said I was 40 years old
hedonism,boring,This is boring and it is a lie
conformity,its kinda stupid,it never does your age only by luck.  and when you do it again it doesn't stick with the same number
conformity,this is a lie,his does not work and is a waste of space and you should not dowload it does not even tell a close age
conformity,SUCKS!!!!!!!!!,this game is a waste of space i dont see how people like this game this is very childish trust me u can not pull a prank on anyone with this app suckish if u get it u will regret it
conformity,wrong age,This does not show the right age. It said I was forty six and I am only twelve
hedonism,Age Scanner,"Granddaughter downloaded this on my Kindle, kind of stupid and boring,  but it was free  Not worth the time to download"
conformity,trash,It is horrible it said I was 40 and 42 every time
conformity,horrible tells wrong age,When you put your thumb on the screen every time it tells a different age.
hedonism,One Star,App boring
conformity,Horrible,It does not work at all and i is bad quality. It is blurry and a wast of my time. Do not get this app
conformity,sucky,This app sucks.. Its so crappy
conformity,Age Scanner,"Not as much fun as I thought it would be, kind of a waste of time.  This is a disappointing app."
conformity,horrible,I don't think it accurately scans or that it just guesses.
conformity,One Star,it is bad it really sucks
hedonism,Not a very fun game.,"Dumb. It doesn't do anything. I thought it would be fun. Maybe it would use some math trick, but all it does is throw out a number. It's not even funny."
conformity,bad,This is a  garbage game
conformity,horrible,It's random.
conformity,Terrible,Doesn't guess my correct age even if I scan my thumb several times
conformity,I hate this,I literally tried this 30times never got my age.
conformity,horrible!,This app I really bad
conformity,big fat fake,It dose not say your real ageÃƒÂ°Ã‚Å¸Ã‚ËœÃ‚Â¨
hedonism,Boring and simpleton.,Boring. Simple. Stupid. Zzz. Lame. Snoozer. Cheesy. Do not waste your time with this game.  5 year olds would have their intelligence insulted by this game.
conformity,stupid,it is so stupid. it is saying that i am 20 and older. and i am only 9.
hedonism,Hate it,It keep on giving me the wrong age!!!!!!
conformity,No useable,Not what I expected. Wanted to use it from my Kindle Fire for Google play. Not compatible
achievement,Casting doesn't work,Can't transmit Amazon Vidoes on my TV
achievement,One Star,Doesn't work on fire tablet
achievement,One Star,doesn't work from the fire tablet.... nothing seems to work with the fire tablet.... sorry I bought it....
achievement,Didn't work with iPhone,It's not working at all with iPhone screen casting. Please do not install.
achievement,One Star,"Try as I might this program did not work for me, & I ended up buying a chromecast instead."
achievement,No work on HD Fire 8 2017 and LG Smart TV.,No work on HD Fire 8 2017 and LG Smart TV.
achievement,Three Stars,Did not work for me
achievement,One Star,doesnt work on my application
benevolence,Not compatible,I'mSure it works fine.  Wasn't compatible with what I was using
conformity,Useless,Casting was one of the main reasons for buying the Fire 10 and this app is nearly useless.
benevolence,Don't use if using a chromecast dongle,Had to remove it as wasn't compatible with chromecast. Wanted it to play a movie from amazon prime from a fire tablet but didn't work. Used the phone instead.
conformity,Rubbish,Rubbish
benevolence,Not compatible to fire  hd  7,Not compatible with fire hd 7.  I guess it is really a flaw/ drawback of the fire tablet.
conformity,No alarm setting,Wasn't what i expected you cannot change the time or set alarm
conformity,TV App,Its not what I was hoping it was.
hedonism,Annoying.,No way to change it.
hedonism,Boring!,Boring!
conformity,Not an actual clock. Just a weird screensaver.,Not an actual clock. Just a weird screensaver.
conformity,One Star,Most useless app ever.
conformity,One Star,did not work for me
conformity,Useless.,Does not show the current time.  Useless.
conformity,Not what I thought it would be,Missed my expectations by a mile!! Deleted app within minutes of investigating its lack of use  DoesnÃ¢â‚¬â„¢t seem to sync to deviceÃ¢â‚¬â„¢s clock
conformity,Pointless,"Doesn't tell the time, which I would have expected."
conformity,Disappointing,Bright but a little pointless and confusing. Can't use other apps with it.
hedonism,A little boring,"I'm not sure what to think of this app.  I realize it's designed for entertainment, but even still, it does very little to entertain.  It's a little boring to use."
hedonism,One Star,Boring.
conformity,OMG,this is a total waste. So very disappointed!
conformity,One Star,Keep picking up the wrong Ghosts?
hedonism,Just stops again and again ..,It often stops or errors occur frequently.And It was difficult to tell which color was a ghost.This app really pissed me off.Eventually I bought fifty dollars EMF Meter Meterk myself.I'm not recommend this app.
hedonism,Not impressed - sorry.,Fun once or twice.
conformity,One Star,Didn't make sense
conformity,Terrible,It's terrible it doesn't even work!
conformity,Horrible,It  doesn't work it just shows the hand don't get this game.  It's horrible.
conformity,trash,"This game is trash because this was supposed to scan your body but suddenly, it won't even scan my x-ray. This is just a play so that you scan your x-ray. Very garbage game."
conformity,HorribleÃ°,Does not work only shows a hand but when my hands not there it still shows a hand! I'd give it 0 star of I could!Ã°Å¸ËœÂ¡
achievement,One Star,It didn't work at all for me
conformity,All thumbs down,"This app doesn't even deserve one star, not a well developed app or fun app at all."
hedonism,Boring,Boring
hedonism,it doesn't work,I don't like it I didn't have my hand under I can see a xray
conformity,don't get,It doesn't work just picture
hedonism,so annoying,it susks its never fun for me it doesent work DON'T LISTEN TO THEM IT SUCKSDON'T DOWNLOAD IT. SO BORRING.
conformity,#Stupid,I wouldn't let my dog use this app. It was absolutely horrible and useless... Thanks for waisting space on my device....
achievement,does not work,I hate it  it's not for me
conformity,SUCKED,This thing sucks. It doesn't  even show any thing of your body it just shows a fake hand.
conformity,21 people found this helpful,Please don't Get this it doesn't even show a real X-Ray
conformity,16 people found this helpful,It doesn't even work
achievement,Doesn't work,"I shouldn't blame the receiver application, but it does not work with my iPhone (despite the $9.99 phone app).  I think these things need to be comprehensively market tested before being offered to the public."
conformity,Disappointed,Way to difficult!! Amazon please come up with a way to easily stream with your FireTv or Firestick.
conformity,Garbage,DId not work as it advertised. Was a complete waste of time. Would not recommend it.
achievement,DIdn't work,Using an iPhone XR and a Toshiba Fire TV - couldn't get it to connect.
achievement,It works but don't need,Downloaded for Fire TV and iPhone. Does not work with Apple TV.
conformity,wouldn't stay connected,Purchased this app and it wouldn't stay connected. Very disappointed.
achievement,Never Worked,Never could help this to work properly with my iPhone 11 & Visio TV.
conformity,Not functioning,Just doesnÃ¢â‚¬â„¢t workMaybe they need to program it better
hedonism,Too many reconnects,DidnÃ¢â‚¬â„¢t work as stated. Too many reconnecting error messages
conformity,Didnt work,Signal would not stay connected.  Cut out continuously so I gave up.
hedonism,Very slow,Lags a lot. The demo only lasts for 5 minutes. Avoid.
hedonism,Pass on itâ€¦,Freezes... glitches... trash. Forgot I even had it until Amazon reminded me to review it. Pass.
hedonism,Glitchy.,"Barely works, glitchy."
achievement,Did not work.,Did not work for me.
achievement,Couldn't make it work on my TV (Firestick),It didn't work on my TV (I use a Firestick)
achievement,Did not work,Hate it! DidnÃ¢â‚¬â„¢t work for me
hedonism,Not impressed,A glitchy technology that barely works. I'm just glad I didn't pay for it.
conformity,Never worked,This app just kept crashing every time I tried to use it.
achievement,No go,DidnÃ¢â‚¬â„¢t work for me
hedonism,App does not work.,"That app never opened, it was just frozen and nothing could be done.  This was one of the worst apps I have ever downloaded.  I thank GOD I didnÃ¢â‚¬â„¢t have to pay for it.  If I could give negative 5 stars I wouldÃ¢â‚¬â„¢ve."
achievement,Two Stars,It was alright didn't work for my TV
achievement,Just didn't work,Iphone x. Didn't work with this
conformity,Not as expected.,Not what expected.
achievement,doenst play nice with iphone,didn't work well with iPhone
hedonism,One Star,Locked up. WouldnÃ¢â‚¬â„¢t load
hedonism,Waste of,App keeps dropping connection between TV and Computer. Waste of money
achievement,Did not work,Did not work with fire stick to mirror an iPad
benevolence,does not work,This app is useless. I was unable to airplay from my iphones and mac. Very disappointing!
hedonism,Too laggy,"I've tried several to mirror my computer to a screen, and this isn't it, too bad. Too laggy"
achievement,Did not work,DidnÃ¢â‚¬â„¢t work for me.
hedonism,App never loads,"""Please wait while loading"" ad infinitum."
achievement,Did not work,Would not work for me did not purchase
conformity,Not worth the $10,Worked once and then never was able to get it to work again.
hedonism,all pop-up ads,There are so many pop-up ads that I could not get to the app.
achievement,Wack,DidnÃ¢â‚¬â„¢t even work for my iPhone
achievement,did not work,sorry did not work with apple
achievement,It didn't work,I could not make it work for my Ipad to Samsung TV.
achievement,No,DidnÃ¢â‚¬â„¢t work on iPhone as promised
hedonism,Probably better for still images,A lot of lag and freezing. Video files stop after about 15-20 seconds.
hedonism,Not worth it,This App is ridiculous not worth the frustration
achievement,Horrible Frame Rate,Unwatchable if mirroring videos. Not for me.
hedonism,Outdated Technology,Very laggy. Not suitable for modern day use.
conformity,CouldnÃ¢â‚¬â„¢t get it to work properly.,Very disappointed
hedonism,One Star,It friezes most of the time and doesnÃ¢â‚¬â„¢t connect At 1 tray
hedonism,The app is slow and laggy on several occasions I â€¦,The app is slow and laggy on several occasions I had to actually reboot to go any further with that but it does exactly what it says it does
hedonism,Very useful but unstable,"Extremely useful app when we don't want to/can't use cables to plug a computer to the TV. However it is very unstable and often needs to be closed and opened again several times per hour, not the best to watch movies."
achievement,Rubbish,WonÃ¢â‚¬â„¢t work with my iPhone 11pro
hedonism,DonÃ¢â‚¬â„¢t buy. ItÃ¢â‚¬â„¢s awful.,Not happy. Had to buy this and it didnÃ¢â‚¬â„¢t even work. Extremely frustrated.
hedonism,Misleading,The app is installed for free on your firestick but they you have to pay to download the mobile version of the app. Very annoying.
achievement,Fiddly,DidnÃ¢â‚¬â„¢t work for me
achievement,One Star,Didn't work with my iPad
hedonism,More frustration than it's worth,After several attempts to use this APP I gave up. It either kept buffering or would not work properly. There was more frustration than anything. So I gave up and went another way.
conformity,Useless,This App always crashes or doesnÃ¢â‚¬â„¢t connect it takes time.
hedonism,Too slow,"Too slow to use FaceTime with, so after that it was of n use to me"
achievement,Didnt work with Motorola,Didnt work with Motorola.
achievement,Didn't work for me with my iphone X with iOS13.,Didn't work for me with my iphone X with iOS13.
benevolence,Does not work,Does not work
hedonism,Sync issue between app and lappy.,Sync between app and lappy is not up to the mark. delayes for 3 secs.
benevolence,App not useful,App not useful
achievement,did not work with apple updated phone,the product did not work at mirroring my apple phone to a amazon fire box
achievement,Not working with Moto G3 / G4,It is not working with Moto G3/G4
achievement,One Star,IÃ¢â‚¬â„¢m using iPhone 6S plus and latest update of iTunes.Not able to get screen mirroring with this
achievement,Not working,Not working for me
hedonism,Technology isnÃ¢â‚¬â„¢t there yet for a Toshiba Fire TV from an apple computer,Flaky. Mirroring kept dropping. This was just frustrating
benevolence,Waste of time to review this product.,Waste of time to review this product.
conformity,Worst app,Worst app
hedonism,"DonÃ¢â‚¬â„¢t bother, very slow and buggy",Lousy. Freezes after a few mins.
achievement,Worst for iphone,Worst for iphoneâ€¦
conformity,I am unable to do mirroring,I am unable to do mirroring
hedonism,Glitchy,Glitchy and not clear
achievement,Doesn't work,"I shouldn't blame the receiver application, but it does not work with my iPhone (despite the $9.99 phone app).  I think these things need to be comprehensively market tested before being offered to the public."
achievement,DidnÃ¢â‚¬â„¢t work for me,"DidnÃ¢â‚¬â„¢t work for me, unfortunately.  I was trying to use this on my amazon fire stick and I couldnÃ¢â‚¬â„¢t get it to go through so I could watch stuff from my phone on to my TV. I was bummed and ended up uninstalling.  Not sure if it had something to do with my end and user error or whether this app just doesnÃ¢â‚¬â„¢t work."
achievement,Can anyone make this work?,At first I thought I was too stupid or too rushed to get this app to work but then I read the reviews and saw that most others could not get it to work either. I will delete this app.
hedonism,"Better than Nothing, sometimes","This app is very glitchy and laggy when mirroring a computer on the same network, the mirror file feature works, but if you pause the video from your remote control you have to restart it from the computer you're using to mirror. I would have been better off spending the 10 dollars for the license key on a cable to just plug my computer into the tv."
achievement,Not free App,App should be clearly noted that it is not free so that customer will not be surprised once the APP is downloaded just to find that their is a cost to use the feature. Cost should be clear on advertisement before downloading. A little mis-leading to the customer. Beware.
hedonism,it is easy to use however it has a glitch it easily looses connection and has to be restarted,My problem with this device is it will loose the connection while viewing video's I have to reconnect the mirror app to the computer and restart the app. I have had on several occasions had to reconnect my computer to the app on the T.V. and to watch the video which I had to pause.
hedonism,Froze the Firestick,"Installed on Amazon Firestick with no problem.  However, my iPhone 6s would not connect to it.  The picture on my TV would only give the AirBeamTV logo and would not allow me to use my controller for the Firestick.  Each time I would have to remove the power cord and the Firestick itself to clear the screen and plug it back together to get back control of my Amazon prime video.  After 3 attempts I deleted the app and called it a waste of time."
conformity,Cannot use this program to mirror powerPoint on my ipad to my FireTv,Could not use this program the way I wanted to.  I wanted to mirror powerPoint on my ipad to my FireTV.  That did not work
conformity,Video lags or stops,Was very disappointed in this. Could not stream video only view pics etc. purchased this so I could mirror my sons competition on the big tv  so we could watch him as a family.  Very disappointed when it feel through.
benevolence,"Can mirror Apple Music, podcast, etc","DonÃ¢â‚¬â„¢t waste your time if you are wanting to mirror/stream your Apple Music, podcast, etc. they will not play. Nothing I tried would. I deleted it. Waste of money."
benevolence,Do Not Buy this App,"This App is horrible. I bought it to stream my TV service which does not have an app on Fire Tv. This App is unable to mirror what I am playing, so I cannot watch what I want on my Fire TV. That is sole purpose of the APP! If it fails in its one purpose it is useless and not worth the purchase."
conformity,Nope - Just not happening,Apps are meant to be easy to use and customer friendly.And work!This app does not fit either criteria
benevolence,Never Received Activation Code,Purchased for use with fire stick and never received the activation code. Waste of $9.99 with no way to get a code or money back. Trial version worked fantastic though - too bad I never received an activation code for the full version. Would be 5 star!
conformity,not worth the trouble,"I was going to mirror my mac with my Fire TV...but this doesn't work with the audio immediately. you need to download a driver to do that. As I was doing that, the trial period ran out on the app. So...no. I'll just watch my streaming services on my TV."
hedonism,Works but with problems,Works but very delayed. Also freezes up regularly and stops mirroring for no reason.
conformity,DIdn't work,Using an iPhone XR and a Toshiba Fire TV - couldn't get it to connect.
conformity,Doesn't work,Terrible program. I have tried everything to make it work. No Luck.
achievement,Terrible interface.,"Honestly, FireTV needs to just upgrade to allow for Android and Iphone Mirroring"
achievement,DidnÃ¢â‚¬â„¢t work for us,"This didnÃ¢â‚¬â„¢t work.  Although free, we were never able to stream the content we wanted."
achievement,It works but don't need,Downloaded for Fire TV and iPhone. Does not work with Apple TV.
achievement,DonÃ¢â‚¬â„¢t waste your money,I guess I need a computer guru to figure this out. Waste of money
hedonism,Does not work as it states it does,IÃ¢â‚¬â„¢m not very pleased with this product at all. There is definitely a lag time between the transmission to the TV I have the high-speed Internet and so it is not a connectivity or an Internet issue.
conformity,Won't stay Connected,Purchased this app and it wouldn't stay connected. Very disappointed.
benevolence,Doesn't Work as Easily as Advertized,"If you are trying to cast from an iPad or iPhone, just get Apple TV and save yourself the headache of trying this and other like apps."
conformity,Not functioning,Just doesnÃ¢â‚¬â„¢t workMaybe they need to program it better
benevolence,ItÃ¢â‚¬â„¢s not free,ItÃ¢â‚¬â„¢s worthless. You have to have a paid version and I wonÃ¢â‚¬â„¢t pay for junk
achievement,Not worth it,Not worth the money! Did not work and too difficult to resolve issues with it. Waste of money.
hedonism,Not consistent,"Inconsistent, no where near as dependable as airplay on Apple TV.  Drops out in the middle of my work out.  I would not recommend"
benevolence,My mistake,"I should have paid more attention to the other reviewers who said this was a ripoff.  It is useless, but there are no zero star reviews possible."
achievement,bad design,does not work. useless app. i am going to uninstall it
hedonism,Didnt work,Signal would not stay connected.  Cut out continuously so I gave up.
conformity,Didn't work,Couldn't make it work and I am a computer tech.
achievement,Doesn't work with iPhone,"It simply did not work.  Unfortunately, you have to pay to download it before you know that it simply doesn't work.  After installing on Firetv, attempting to use it on an Apple iPhone running the Disney Plus app as soon as you attempt to share the screen using the AirBeamTV Mirroring Receiver app it blanks out the display on the phone and throws an error on the TV."
conformity,DoesnÃ¢â‚¬â„¢t work for streaming apps/iTunes movies,"Does not work for my needs, need to airplay to fire stick while traveling because of HuluÃ¢â‚¬â„¢s location restrictions."
hedonism,Pass on itâ€¦,Freezes... glitches... trash. Forgot I even had it until Amazon reminded me to review it. Pass.
conformity,Could be better,App keeps crashing. When it works itÃ¢â‚¬â„¢s fine but it crashes like every 5-10 minutes.
hedonism,Glitchy.,"Barely works, glitchy."
achievement,Did not work.,Did not work for me.
achievement,Don't waste your money!,"Awful app.  Constantly freezes and have to completely re-boot the system to get it to work.  Support says uninstall and re-install which doesn't fix the problem.  Save your 9.99  Fyi, the only reason I gave it 1 star is because I can't submit the review with 0 stars."
achievement,Couldn't make it work on my TV (Firestick),It didn't work on my TV (I use a Firestick)
achievement,Did not work,Hate it! DidnÃ¢â‚¬â„¢t work for me
conformity,Garbage,Don't waste your time with this one. It simply does not work.
hedonism,DidnÃ¢â‚¬â„¢t work,DidnÃ¢â‚¬â„¢t work kept freezing
conformity,Absolutely Rubbish !,ust downloaded and installed. as a test: Just a simple youtube video in full screen. Result: After 30 seconds more or less: The fireTV got the screen frozen. I decided to start over again: Same Result. Don't waste your time.
conformity,Don't bother,Junk. Won't complete the broadcast without restarting constantly.
achievement,The App doesn't work with Fire TV,"The App doesn't work with Fire TV and it hasn't been possible to solve the problem in a week, Technical assistance always gives me the same instructions and it doesn't work."
benevolence,Deceptive,"This doesn't actually AirPlay, you can push some videos to your screen, but that is about it. I would like a refund."
benevolence,Useless,Does not stream video of major apps.
achievement,Wasted my time,This app did not work for me.
conformity,Junk,Garbage. Straight up garbage. DonÃ¢â‚¬â„¢t even think about downloading it.
hedonism,Not impressed,A glitchy technology that barely works. I'm just glad I didn't pay for it.
benevolence,Rip off,Stay away
conformity,Nope !,"Horrible , mirroring turns off randomly"
conformity,Never worked,This app just kept crashing every time I tried to use it.
hedonism,Beware!!!,Locked up everything!!! Was frozen upon installation. Had to restart everything. Wish I never downloaded it.
conformity,DonÃ¢â‚¬â„¢t buy thus,Absolute garbage
achievement,No go,DidnÃ¢â‚¬â„¢t work for me
achievement,Not worth your money.,"Did not work, company refused to refund."
achievement,Two Stars,It was alright didn't work for my TV
conformity,Sucks,This sucks and Dosent work itÃ¢â‚¬â„¢s fuzzy and off
hedonism,Significant Lag,"If you don't have a very fast internet connection, there will be a significant amount of lag between real time and what's happening on the mirrored display"
conformity,Don't bother,"Crashes every few min, no sound, 2 second lag, can't watch videos, waste of time."
achievement,Just didn't work,Iphone x. Didn't work with this
conformity,Not as expected.,Not what expected.
achievement,doenst play nice with iphone,didn't work well with iPhone
hedonism,Not Impressed,Not Impressed!
benevolence,Do not waste your money on this app.,This app is worthless. I feel ripped off.
conformity,Keep on crashing,I just uninstalled. Never worked smoothly
conformity,Garbage,Just did not work. Do not get.
conformity,Ughhh,Complicated
conformity,Enormous POS,"Worst ever. DoesnÃ¢â‚¬â„¢t work, waste of time, money and sanity. Sadly so many other ways to accomplish what you need for free that I only learned after my horrific experience with this enormous POS."
hedonism,slow,"for an app that isn't free, its really slowi found another app that is free, faster AND easier to use"
achievement,Waste of,App keeps dropping connection between TV and Computer. Waste of money
conformity,does not work,This app is useless. I was unable to airplay from my iphones and mac. Very disappointing!
achievement,Did not work,DidnÃ¢â‚¬â„¢t work for me.
hedonism,Too laggy,"I've tried several to mirror my computer to a screen, and this isn't it, too bad. Too laggy"
hedonism,App never loads,"""Please wait while loading"" ad infinitum."
achievement,DonÃ¢â‚¬â„¢t waste your money,Not very easy to use. After 10 minutes it quit working and would show a black screen. Would not recommend. Waste of money
achievement,Did not work,Would not work for me did not purchase
conformity,Bad App,Does not work and I am having trouble deleting the App
benevolence,Usless,As soon as it connected and was streaming lost the picture.
hedonism,all pop-up ads,There are so many pop-up ads that I could not get to the app.
conformity,Not worth it,I didn't like it. Too complicated and it sort of didn't work.
conformity,Very disappointed,Didn't work whatsoever :(
benevolence,Scamer,Scam! This does not work! Do not buy!
achievement,Fake App,Fake app. Just links you to a site where you can buy a paid version.
conformity,garbage,didn't work
achievement,terrible interface,never left the home screen. Never responded to me
benevolence,Do not use,Do not use. Chinese hacking software
achievement,DonÃ¢â‚¬â„¢t waste your memory,DoesnÃ¢â‚¬â„¢t work with iPhone
achievement,did not work,sorry did not work with apple
achievement,It didn't work,I could not make it work for my Ipad to Samsung TV.
achievement,Not working to me,Not working to me
conformity,Garbage,ItÃ¢â‚¬â„¢s garbage...wasted my time. Does not work
hedonism,Probably better for still images,A lot of lag and freezing. Video files stop after about 15-20 seconds.
achievement,Horrible Frame Rate,Unwatchable if mirroring videos. Not for me.
hedonism,Outdated Technology,Very laggy. Not suitable for modern day use.
hedonism,Awful app,Video just kept stopping and going. Could not enjoy the video at all.
benevolence,Sucks,I want my money back. This was useless.
hedonism,Terrible app,So slow
hedonism,Worst purchase,Freezes all the time
hedonism,Slow,Really slow and definitely not HD
conformity,Not for Apple,WasnÃ¢â‚¬â„¢t what I thought it would be
conformity,CouldnÃ¢â‚¬â„¢t get it to work properly.,Very disappointed
hedonism,One Star,It friezes most of the time and doesnÃ¢â‚¬â„¢t connect At 1 tray
conformity,One Star,"Unfortunately this app does not work. However ,mac mirror app does."
hedonism,The app is slow and laggy on several occasions I â€¦,The app is slow and laggy on several occasions I had to actually reboot to go any further with that but it does exactly what it says it does
hedonism,Waste of time,"This app barely works. It does send a picture to the TV, but it's low quality, constantly freezes and lags behind the source by up to a minute, despite 100Mg/s internet connection.  Expect frustration."
conformity,Extremely Disappointing Ã¢â‚¬â€ Unusable for Video,This product is unusable for video streaming and barely usable for presentation.  I highly recommend that you use a thunderbolt/HDMI cable as the lag in presentation is significant.  I asked for a refund within 20 mins of trying to use the product and the company towed the line that Ã¢â‚¬Å“input lag was clearly mentioned in the description.Ã¢â‚¬
benevolence,Scam app,Hours of playing with the app and I cannot watch a TV series on my smart TV.  Can't find any useful info that points out mistakes I am making so the conclusion is that Airbeam is worthless. Don't buy.
conformity,One Star,Couldnt get it to work
achievement,did not work on fire tv,"specifically says works for fire tv, apparently not. thanks for wasting my money."
conformity,Dont like it,Difficult to use.
conformity,Next,DidnÃ¢â‚¬â„¢t work like I was hoping it would
benevolence,Update,Please update
conformity,Junk,Would not hold video for more than 30 seconds
benevolence,dishonest!!!!!! don't use this app!,Lack of transparency from start. You may need to go through few steps that will take some unnecessary waste of time as the promise of free download and easy installation given to you from fake videos you may find on google will never happen. You will follow the steps provided to end up having to pay Ã‚Â£9.99 to download an app that has a potential to harm your device and your privacy. Be careful what you download!
conformity,Worked at first then stopped,At first it worked fine then after that just stopped working
benevolence,useless for casting,useless for casting
conformity,garbage,"Garbage, waste of time, donÃ¢â‚¬â„¢t bother"
hedonism,Very useful but unstable,"Extremely useful app when we don't want to/can't use cables to plug a computer to the TV. However it is very unstable and often needs to be closed and opened again several times per hour, not the best to watch movies."
achievement,Rubbish,WonÃ¢â‚¬â„¢t work with my iPhone 11pro
conformity,Poor,"CouldnÃ¢â‚¬â„¢t get it to work,  deleted the app"
hedonism,Misleading,The app is installed for free on your firestick but they you have to pay to download the mobile version of the app. Very annoying.
conformity,sound no picture,I tried doing all the reconnection tricks..on off with all power / wifi / devices..only sound no pictureâ€¦
conformity,Would mirror your phone to tv,does not mirror my phone to TV is what I thought it would do
conformity,Not working,Waste of time
achievement,Fiddly,DidnÃ¢â‚¬â„¢t work for me
achievement,Too expensive and not worth it,Too expensive and not worth it
conformity,Rubbish,Rubbish
achievement,Didn't work,It didn't work with my amazon deviced
achievement,One Star,Didn't work with my iPad
achievement,Rubbish. Don't bother!,"Rubbish. Every web app that I try to push to my Samsung TV just shows a black screen. Absolute waste of money, don't bother!"
hedonism,Disliked,Disliked it
conformity,DoesnÃ¢â‚¬â„¢t work,Rubbish didnÃ¢â‚¬â„¢t work
benevolence,Quite useless. DonÃ¢â‚¬â„¢t waste your money,Its quite useless. It is cumbersome to use as it imitates screen recording on phone to mirror your screen. Thus the sound on phone does not go off automatically. There is a major lag in the cast... more than 5 seconds. Seems like the app has frozen to function every now and then due to the lag. The link keeps getting lost especially when on the chrome browser.
achievement,This App did not work for me,"Even though the support team was helpful in trying to make this App work, it under performed in every category.  I was using it on an Apple iPhone SE 2020.  I managed to connect to my Amazon Firestick on one occasion only and even then I could not get the sound to work properly.  I did not get it to connect after that.  I was able to get a refund for the App and I purchased a Lightning to HDMI cable which is more reliable albeit not as mobile."
hedonism,This App Sucks Big Time!!!!!,"This app Sucks!! Dosen't do anything but mirror you home screen any attempt to move from home screen and it freezes !!!Can't stream Video or music ""On"" my phone, as again it freezes. The worst part the companion app that you have to have on your phone / tablet  etc. costs the better part of $7Can. and the Damn thing dosen't work!!!!DON'T WASTE YOUR MONEY!!!!"
hedonism,More frustration than it's worth,After several attempts to use this APP I gave up. It either kept buffering or would not work properly. There was more frustration than anything. So I gave up and went another way.
benevolence,Useless,This App always crashes or doesnÃ¢â‚¬â„¢t connect it takes time.
hedonism,Too slow,"Too slow to use FaceTime with, so after that it was of n use to me"
benevolence,Useless,"What a waste of money! It doesn't connect, no help to troubleshoot issues, unable to return for refund."
achievement,Didn't work for me with my iphone X with iOS13.,Didn't work for me with my iphone X with iOS13.
achievement,Didnt work with Motorola.,Didnt work with Motorola.
achievement,Not worth the hassle,App is simply a single image that directs to an external website. Website didnÃ¢â‚¬â„¢t work for me anyway.
achievement,Not worth using,Waste of money as it requires a separate $10 purchase per device
benevolence,App not useful,App not useful
conformity,One Star,WouldnÃ¢â‚¬â„¢t get it working
achievement,Not working,Not working for me
conformity,Waste of time to review this product.,Waste of time to review this product.
hedonism,"DonÃ¢â‚¬â„¢t bother, very slow and buggy",Lousy. Freezes after a few mins.
conformity,DoesnÃ¢â‚¬â„¢t work,DoesnÃ¢â‚¬â„¢t workWaste of time
hedonism,Glitchy,Glitchy and not clear
benevolence,Useless,Don't install
achievement,Doesn't work,"I shouldn't blame the receiver application, but it does not work with my iPhone (despite the $9.99 phone app).  I think these things need to be comprehensively market tested before being offered to the public."
achievement,Didnâ€™t work for me,"Didnâ€™t work for me, unfortunately.  I was trying to use this on my amazon fire stick and I couldnâ€™t get it to go through so I could watch stuff from my phone on to my TV. I was bummed and ended up uninstalling.  Not sure if it had something to do with my end and user error or whether this app just doesnâ€™t work."
hedonism,it is easy to use however it has a glitch it easily looses connection and has to be restarted,My problem with this device is it will loose the connection while viewing video's I have to reconnect the mirror app to the computer and restart the app. I have had on several occasions had to reconnect my computer to the app on the T.V. and to watch the video which I had to pause.
conformity,It doesnâ€™t work,"It doesnâ€™t work, i.e. the app wouldnâ€™t start."
conformity,Video lags or stops,Was very disappointed in this. Could not stream video only view pics etc. purchased this so I could mirror my sons competition on the big tv  so we could watch him as a family.  Very disappointed when it feel through.
achievement,Garbage app,"Nice free app for FireStick. However, the iPhone application you need cost $4.99. That app installed but never worked with the FireTV application. I have since deleted it, lost the $5 bucks as its impossible to easily get a refund from Apple."
hedonism,Works but with problems,Works but very delayed. Also freezes up regularly and stops mirroring for no reason.
benevolence,Father of lies,Pretends it's a free platform but forces you to purchase app from appstore to use.
achievement,Donâ€™t waste your money,I guess I need a computer guru to figure this out. Waste of money
hedonism,Does not work as it states it does,Iâ€™m not very pleased with this product at all. There is definitely a lag time between the transmission to the TV I have the high-speed Internet and so it is not a connectivity or an Internet issue.
conformity,Won't stay Connected,Purchased this app and it wouldn't stay connected. Very disappointed.
benevolence,bad design,does not work. useless app. i am going to uninstall it
hedonism,Didnt work,Signal would not stay connected.  Cut out continuously so I gave up.
benevolence,Useless,Doesnâ€™t work. Canâ€™t start anything and all is does is show a flying squirrel
achievement,Did not work,Hate it! Didnâ€™t work for me
conformity,Garbage,Don't waste your time with this one. It simply does not work.
hedonism,Didnâ€™t work,Didnâ€™t work kept freezing
